Warning (-17893): Unknown script language	[MsgId: MWAR-17893]
Virtual User Script started at: 7/17/2019 2:47:40 PM	[MsgId: MMSG-15967]
Running Vuser...	[MsgId: MMSG-15964]
Starting action Main.	[MsgId: MMSG-15919]
Starting action TC10 [TC10].	[MsgId: MMSG-15919]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_01_OpenMurexAppClient" started.	[MsgId: MMSG-16999]
SystemUtil	[MsgId: MMSG-23001]
Run "D:\Murex\SIT_C2\MX3.exe",1	[MsgId: MMSG-23001]
D:\Murex\SIT_C2\MX3.exe.  Error Description: 	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2"). "Object exists"	[MsgId: MMSG-23001]
MX.3 - MUREX_SIT_C2.  Error Description: 	[MsgId: MMSG-23001]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_01_OpenMurexAppClient" ended with a "Pass" status (Duration: 12.2848).	[MsgId: MMSG-16873]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_02_SubmitLogin" started.	[MsgId: MMSG-16999]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaEdit("txt_user"). "Object exists"	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaEdit("txt_user"). "TCOE01"	[MsgId: MMSG-23001]
txt_user.  Error Description: 	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaEdit("txt_password"). "Object exists"	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaEdit("txt_password"). "TCOE01"	[MsgId: MMSG-23001]
txt_password.  Error Description: 	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaButton("Sign_in_home"). "Object exists"	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaButton("Sign_in_home"). "LEFT"	[MsgId: MMSG-23001]
Sign_in_home.  Error Description: 	[MsgId: MMSG-23001]
Welcome back, TCOE01!(st).  Error Description: The "Welcome back, TCOE01!(st)" JavaStaticText object was not found in the Object Repository.
Check the Object Repository to confirm that the object exists or to find the correct name for the object.	[MsgId: MMSG-23001]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_02_SubmitLogin" ended with a "Pass" status (Duration: 3.0081).	[MsgId: MMSG-16873]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_03_ClickStart_iconFO_TH-C" started.	[MsgId: MMSG-16999]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaStaticText("FO_TH-C"). "Object exists"	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaStaticText("FO_TH-C"). 35, 36, "LEFT"	[MsgId: MMSG-23001]
FO_TH-C.  Error Description: 	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaButton("Start_Login"). "Object exists"	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaButton("Start_Login"). "LEFT"	[MsgId: MMSG-23001]
Start_Login.  Error Description: 	[MsgId: MMSG-23001]
FO_TH-C.  Error Description: Invalid or unqualified reference	[MsgId: MMSG-23001]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_03_ClickStart_iconFO_TH-C" ended with a "Pass" status (Duration: 2.1480).	[MsgId: MMSG-16873]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_04_SearchManu" started.	[MsgId: MMSG-16999]
JavaWindow("MX.3 - MUREX_SIT_C2")	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaEdit("Search_query"). "Object exists"	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaEdit("Search_query"). "Portfolio simulation by position"	[MsgId: MMSG-23001]
Search_query.  Error Description: 	[MsgId: MMSG-23001]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_04_SearchManu" ended with a "Pass" status (Duration: 2.7268).	[MsgId: MMSG-16873]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_05_AddAll" started.	[MsgId: MMSG-16999]
Window("MUREX_SIT_C2_MX3 [PID:422013"). 251, 155	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2_MX").JavaInternalFrame("Portfolio selection").JavaButton("OK_Add_All"). "Object exists"	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2_MX").JavaInternalFrame("Portfolio selection").JavaButton("OK_Add_All"). "LEFT"	[MsgId: MMSG-23001]
OK_Add_All.  Error Description: 	[MsgId: MMSG-23001]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_05_AddAll" ended with a "Pass" status (Duration: 16.0980).	[MsgId: MMSG-16873]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_06_Curverisk_Tab" started.	[MsgId: MMSG-16999]
JavaWindow("MX.3 - MUREX_SIT_C2_MX").JavaInternalFrame("Undefined - Main").JavaButton("Curve risk"). "Object does not exist"	[MsgId: MMSG-23001]
Error:  Curve risk WebButton not found.	[MsgId: MERR-23001]
JavaWindow("MX.3 - MUREX_SIT_C2_MX").JavaInternalFrame("Undefined - Main").JavaEdit("Currency"). "Object does not exist"	[MsgId: MMSG-23001]
Error:  CurrencyWebEdit not found.	[MsgId: MERR-23001]
JavaWindow("MX.3 - MUREX_SIT_C2_MX").JavaInternalFrame("Undefined - Main").JavaButton("pickUpValues"). "Object does not exist"	[MsgId: MMSG-23001]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_06_Curverisk_Tab" ended with a "Fail" status (Duration: 180.8192).	[MsgId: MMSG-16873]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_06_Curverisk_Tab" has 0 error message(s).	[MsgId: MMSG-16818]
Ending action TC10 [TC10].	[MsgId: MMSG-15918]
Ending action Main.	[MsgId: MMSG-15918]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Vuser Terminated.	[MsgId: MMSG-15963]
Vuser 0 (thread 9080), ended OK."	[MsgId: MMSG-10695]
On the main thread, COM was initialized with CoUninitialize(MTA).	[MsgId: MMSG-10555]
