Warning (-17893): Unknown script language	[MsgId: MWAR-17893]
Virtual User Script started at: 7/11/2019 9:44:53 AM	[MsgId: MMSG-15967]
Running Vuser...	[MsgId: MMSG-15964]
Starting action Main.	[MsgId: MMSG-15919]
Starting action TC10 [TC10].	[MsgId: MMSG-15919]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_01_OpenMurexAppClient" started.	[MsgId: MMSG-16999]
SystemUtil	[MsgId: MMSG-23001]
Run "D:\Murex\SIT_C2\MX3.exe",1	[MsgId: MMSG-23001]
D:\Murex\SIT_C2\MX3.exe.  Error Description: 	[MsgId: MMSG-23001]
JavaWindow("MX.3 - MUREX_SIT_C2"). "Object does not exist"	[MsgId: MMSG-23001]
Error:  MX.3 - MUREX_SIT_C2WebEdit not found.	[MsgId: MERR-23001]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_01_OpenMurexAppClient" ended with a "Fail" status (Duration: 60.4513).	[MsgId: MMSG-16873]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_01_OpenMurexAppClient" has 0 error message(s).	[MsgId: MMSG-16818]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_02_SubmitLogin" started.	[MsgId: MMSG-16999]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaEdit("txt_user"). "Object does not exist"	[MsgId: MMSG-23001]
Error:  txt_userWebEdit not found.	[MsgId: MERR-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaEdit("txt_password"). "Object does not exist"	[MsgId: MMSG-23001]
Error:  txt_passwordWebEdit not found.	[MsgId: MERR-23001]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaButton("Sign_in_home"). "Object does not exist"	[MsgId: MMSG-23001]
Error:  Sign_in_home WebButton not found.	[MsgId: MERR-23001]
Welcome back, TCOE01!(st).  Error Description: The "Welcome back, TCOE01!(st)" JavaStaticText object was not found in the Object Repository.
Check the Object Repository to confirm that the object exists or to find the correct name for the object.	[MsgId: MMSG-23001]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_02_SubmitLogin" ended with a "Fail" status (Duration: 181.0074).	[MsgId: MMSG-16873]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_02_SubmitLogin" has 0 error message(s).	[MsgId: MMSG-16818]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_03_ClickStart_iconFO_TH-C" started.	[MsgId: MMSG-16999]
JavaWindow("MX.3 - MUREX_SIT_C2").JavaStaticText("FO_TH-C"). "Object does not exist"	[MsgId: MMSG-23001]
Notify: Transaction "TC10_Portfoilo_simulation_Fx_Trader_03_ClickStart_iconFO_TH-C" ended with a "Stop" status (Duration: 60.1060).	[MsgId: MMSG-16873]
Ending action TC10 [TC10].	[MsgId: MMSG-15918]
Ending action Main.	[MsgId: MMSG-15918]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Vuser Terminated.	[MsgId: MMSG-15963]
Vuser 0 (thread 1412), ended OK."	[MsgId: MMSG-10695]
On the main thread, COM was initialized with CoUninitialize(MTA).	[MsgId: MMSG-10555]
